latitude,longitude,name,class,mass,year,imageUrl
50.19120528,36.8522105,30604,TRUE,3,2023,https://gdb.rferl.org/D7DA9D6C-4B76-413D-B4D4-3542DAC9088E_w1597_n_r0_st_s.jpg
49.4847574,37.52836123,30603,TRUE,4,2023,https://gdb.rferl.org/D7DA9D6C-4B76-413D-B4D4-3542DAC9088E_w1597_n_r0_st_s.jpg
49.31568789,37.85281945,30602,TRUE,9,2022,https://gdb.rferl.org/D7DA9D6C-4B76-413D-B4D4-3542DAC9088E_w1597_n_r0_st_s.jpg
49.09168364,37.48331,30600,TRUE,10,2023,https://gdb.rferl.org/D7DA9D6C-4B76-413D-B4D4-3542DAC9088E_w1597_n_r0_st_s.jpg
50.09026314,36.39743114,30599,TRUE,3,2022,https://gdb.rferl.org/D7DA9D6C-4B76-413D-B4D4-3542DAC9088E_w1597_n_r0_st_s.jpg
49.57544875,37.42312208,30598,TRUE,3,2022,https://gdb.rferl.org/D7DA9D6C-4B76-413D-B4D4-3542DAC9088E_w1597_n_r0_st_s.jpg
50.46098609,29.81188,30593,TRUE,2,2023,https://gdb.rferl.org/D7DA9D6C-4B76-413D-B4D4-3542DAC9088E_w1597_n_r0_st_s.jpg
48.02887901,36.956955,30591,TRUE,1,2023,
47.88847291,37.3058397,30590,TRUE,3,2023,
49.78199149,34.60659,30589,TRUE,3,2023,
50.50017262,30.75284926,30587,TRUE,5,2023,
50.54461559,30.24236511,30584,TRUE,1,2022,
49.39824161,36.928081,30581,TRUE,9,2023,
49.57446201,36.972661,30580,TRUE,6,2022,
49.22399738,37.27463348,30579,TRUE,1,2022,
49.99965176,36.54119,30577,TRUE,2,2023,
50.63164557,30.87281508,30576,TRUE,9,2022,
49.77094549,37.0407932,30574,TRUE,8,2023,
49.84478233,35.6954,30573,TRUE,9,2023,
49.46646102,37.62047,30571,TRUE,6,2022,
50.25626105,36.08935,30570,TRUE,9,2022,
49.78508103,34.53854,30565,TRUE,2,2023,
50.21016122,36.42085927,30564,TRUE,1,2023,
49.93036002,36.42770996,30561,TRUE,7,2022,
49.22205122,37.82257,30560,TRUE,8,2022,
50.26341151,36.17738,30559,TRUE,7,2023,
49.39815724,36.87150833,30557,TRUE,10,2022,
49.38375201,37.0558803,30556,TRUE,10,2023,
49.27379123,36.53507,30554,TRUE,3,2023,
49.76682202,37.56943,30553,TRUE,5,2022,
49.39714261,36.86602,30550,TRUE,1,2023,
49.24236328,36.93117,30549,TRUE,10,2023,
48.38262201,37.896639,30543,TRUE,9,2023,
49.37758318,37.62599,30542,TRUE,2,2023,
49.19169839,37.27944,30541,TRUE,10,2022,
49.09168364,37.48331,30540,TRUE,8,2023,
48.50533334,37.67563889,30538,TRUE,1,2022,
49.5915373,36.7868756,30536,TRUE,4,2023,
49.39815724,36.87150833,30534,TRUE,7,2022,
50.10869855,36.26275283,30533,TRUE,5,2022,
49.31049158,37.85587353,30531,TRUE,7,2022,
49.29918674,37.8406815,30530,TRUE,10,2022,
49.26337251,37.81950761,30529,TRUE,6,2023,
50.20501801,36.278967,30528,TRUE,1,2023,
49.56497145,37.70435038,30527,TRUE,6,2023,
50.94618388,31.98432,30526,TRUE,7,2022,
50.88323391,32.00614,30523,TRUE,4,2023,
49.71782221,36.98094598,30522,TRUE,6,2023,
50.63306106,30.87539,30521,TRUE,2,2023,
49.45644293,36.84522867,30520,TRUE,10,2022,
48.72175501,37.529206,30517,TRUE,8,2023,
49.52278549,37.57601527,30514,TRUE,4,2022,
50.584981,30.235748,30512,TRUE,4,2023,
48.34410341,30.24797626,30511,TRUE,8,2023,
48.36539877,30.50641533,30510,TRUE,9,2023,
47.853748,35.157139,30508,TRUE,4,2022,
49.72536103,36.93006,30507,TRUE,4,2022,
49.37113102,36.58019,30505,TRUE,8,2023,
49.86676863,37.09354311,30504,TRUE,8,2023,
49.22873003,37.24660002,30503,TRUE,5,2023,
49.71392168,36.93314887,30502,TRUE,5,2023,
46.304061,33.783147,30500,FALSE,6,2023,
49.38648701,32.038232,30499,TRUE,5,2022,
49.35249245,36.79730417,30496,TRUE,10,2022,
49.47937301,36.597594,30495,TRUE,9,2022,
49.36665941,36.9828863,30494,TRUE,2,2022,
47.66449363,35.63864916,30492,TRUE,4,2023,
49.37172284,37.06563147,30491,TRUE,2,2023,
49.3798893,37.62724526,30490,TRUE,8,2023,
50.15811291,36.15340165,30489,TRUE,7,2022,
49.72790529,36.90873004,30484,TRUE,9,2022,
50.04773243,36.6769346,30483,TRUE,2,2022,
49.75314784,37.64072815,30482,TRUE,1,2023,
50.16058112,36.82415763,30481,FALSE,9,2023,
49.17408001,37.43647,30480,TRUE,7,2022,
48.90006576,33.45002,30476,FALSE,4,2022,
49.37216141,36.9435262,30475,TRUE,5,2022,
50.30741111,36.15621742,30474,TRUE,8,2022,
48.3036,32.16,30473,FALSE,6,2023,
49.76529096,36.99907948,30472,TRUE,7,2022,
50.18822485,36.24801657,30470,TRUE,10,2023,
49.34038101,37.85951483,30467,TRUE,10,2022,
49.76662799,37.57479442,30465,TRUE,2,2023,
50.910561,34.80566,30463,FALSE,9,2022,
49.21602001,37.25574996,30461,TRUE,6,2023,
49.70527008,36.90174557,30460,TRUE,6,2022,
49.73325951,36.84892335,30459,TRUE,7,2022,
49.72907086,36.85990968,30458,TRUE,1,2023,
49.88029007,36.92876632,30457,TRUE,5,2022,
50.89132107,29.7124,30456,TRUE,10,2023,
